  92 109.629     812 109.447    1532  95.4854   2252  71.7286   2972  93.6188
  93 112.737     813 105.805    1533  90.3443   2253  50.9272   2973  98.918
  94 116.349     814 103.813    1534  90.908    2254  53.5145   2974  68.244
  95 123.666     815 100.989    1535  97.7953   2255  92.8177   2975  36.7656
  96 122.532     816  96.0814   1536  98.045    2256  95.4232   2976  36.9923
  97 112.237     817  85.4076   1537  92.831    2257  57.5558   2977  70.5829
  98 108.532     818  80.983    1538 104.444    2258  53.7291   2978  96.6265
  99 107.542     819  77.3664   1539 153.348    2259  67.1789   2979  76.2371
 100 110.42      820  77.0708   1540 147.997    2260  67.1502   2980  80.2904
 101 119.939     821  79.2738   1541  87.7916   2261  56.0515   2981 117.952
 102 119.768     822  77.3349   1542  77.9863   2262  73.7139   2982 152.295
 103 110.068     823  70.5363   1543  88.4654   2263 205.171    2983 183.204
 104 109.961     824  72.5971   1544  88.736    2264 222.121    2984 175.388
 105 119.284     825  88.0931   1545  74.1408   2265 227.148    2985 100.449
 106 119.13      826  87.5204   1546  52.1806   2266 230.984    2986  95.5048
 107 109.557     827  70.6917   1547  31.5265   2267 237.094    2987 153.065
 108 110.572     828  67.5641   1548  32.1907   2268 237.942    2988 141.331
 109 123.427     829  71.3664   1549  58.4774   2269 234.735    2989  67.1942
 110 123.792     830  70.3477   1550  97.9613   2270 225.863    2990  54.5462
 111 111.665     831  64.0981   1551 154.038    2271 188.786    2991  52.6829
 112 108.56      832  65.857    1552 156.836    2272 183.579    2992  75.8997
 113 110.882     833  80.2811   1553 114.657    2273 221.678    2993 208.206
 114 109.481     834  81.3441   1554 105.055    2274 216.499    2994 217.572
 115 103.133     835  69.6674   1555 115.576    2275 121.621    2995 220.851
 116 103.312     836  77.1053   1556 100.89     2276  74.0959   2996 218.602
 117 110.032     837 128.575    1557  66.0258   2277  81.7314   2997 193.162
 118 108.955     838 144.307    1558  60.9179   2278  99.4413   2998 186.363
 119  99.0056    839 122.27     1559  69.5494   2279 149.537    2999 205.64
 120 103.975     840 116.464    1560  83.105    2280 155.809    3000 211.914
 121 119.67      841 122.724    1561 112.531    2281  96.4891   3001  72.9585
 122 120.103     842 113.531    1562 113        2282  81.4144   3002  72.7592
 123 125.495     843  93.4776   1563 124.957    2283  68.1779   3003 121.477
 124 120.741     844  92.6908   1564 126.787    2284  66.4194   3004  90.3495
 125 103.704     845 109.133    1565 120.443    2285  71.645    3005  46.2726
 126 103.242     846 115.543    1566 117.212    2286  79.4345   3006  85.9831
 127 118.541     847 114.618    1567 114.287    2287 106.591    3007 230.798
 128 122.862     848 113.431    1568 115.386    2288 104.987    3008 236.412
 129 118.3       849 111.56     1569 121.351    2289  76.7272   3009 196.7
 130 114.639     850 112.704    1570 120.297    2290  74.374    3010 157.073
 131 109.232     851 117.992    1571 111.61     2291  87.9615   3011 223.253
 132 111.018     852 119.621    1572 111.622    2292 101.456    3012 226.989
 133 121.792     853 119.206    1573 120.263    2293 126.953    3013 214.694
 134 121.531     854 120.638    1574 122.481    2294 126.979    3014 217.995
 135 110.162     855 125.358    1575 119.734    2295 103.42     3015 234.969
 136 109.123     856 124.733    1576 117.136    2296 100.276    3016 231.738
 137 117.321     857 117.815    1577 112.909    2297 112.171    3017 174.396
 138 119.809     858 112.298    1578 115.33     2298 121.911    3018 110.486
 139 118.402     859 103.409    1579 126.718    2299 136.474    3019 217.781
 140 119.568     860 100.016    1580 126.929    2300 131.42     3020 226.298
